n,e*log(n),n,e*log(n) <= n
1.6500,1.3612,1.6500,Si
1.6600,1.3777,1.6600,Si
1.6700,1.3940,1.6700,Si
1.6800,1.4102,1.6800,Si
1.6900,1.4264,1.6900,Si
1.7000,1.4424,1.7000,Si
1.7100,1.4583,1.7100,Si
1.7200,1.4742,1.7200,Si
1.7300,1.4899,1.7300,Si
1.7400,1.5056,1.7400,Si
1.7500,1.5212,1.7500,Si
1.7600,1.5367,1.7600,Si
1.7700,1.5521,1.7700,Si
1.7800,1.5674,1.7800,Si
1.7900,1.5826,1.7900,Si
1.8000,1.5978,1.8000,Si
1.8100,1.6128,1.8100,Si
1.8200,1.6278,1.8200,Si
1.8300,1.6427,1.8300,Si
1.8400,1.6575,1.8400,Si
1.8500,1.6722,1.8500,Si
1.8600,1.6869,1.8600,Si
1.8700,1.7015,1.8700,Si
1.8800,1.7160,1.8800,Si
1.8900,1.7304,1.8900,Si
1.9000,1.7447,1.9000,Si
1.9100,1.7590,1.9100,Si
1.9200,1.7732,1.9200,Si
1.9300,1.7873,1.9300,Si
1.9400,1.8014,1.9400,Si
1.9500,1.8153,1.9500,Si
1.9600,1.8293,1.9600,Si
1.9700,1.8431,1.9700,Si
1.9800,1.8568,1.9800,Si
1.9900,1.8705,1.9900,Si
2.0000,1.8842,2.0000,Si
2.0100,1.8977,2.0100,Si
2.0200,1.9112,2.0200,Si
2.0300,1.9246,2.0300,Si
2.0400,1.9380,2.0400,Si
2.0500,1.9513,2.0500,Si
2.0600,1.9645,2.0600,Si
2.0700,1.9777,2.0700,Si
2.0800,1.9908,2.0800,Si
2.0900,2.0038,2.0900,Si
2.1000,2.0168,2.1000,Si
2.1100,2.0297,2.1100,Si
2.1200,2.0426,2.1200,Si
2.1300,2.0554,2.1300,Si
2.1400,2.0681,2.1400,Si
2.1500,2.0808,2.1500,Si
2.1600,2.0934,2.1600,Si
2.1700,2.1059,2.1700,Si
2.1800,2.1184,2.1800,Si
2.1900,2.1309,2.1900,Si
2.2000,2.1432,2.2000,Si
2.2100,2.1556,2.2100,Si
2.2200,2.1678,2.2200,Si
2.2300,2.1801,2.2300,Si
2.2400,2.1922,2.2400,Si
2.2500,2.2043,2.2500,Si
2.2600,2.2164,2.2600,Si
2.2700,2.2284,2.2700,Si
2.2800,2.2403,2.2800,Si
2.2900,2.2522,2.2900,Si
2.3000,2.2641,2.3000,Si
2.3100,2.2759,2.3100,Si
2.3200,2.2876,2.3200,Si
2.3300,2.2993,2.3300,Si
2.3400,2.3109,2.3400,Si
2.3500,2.3225,2.3500,Si
2.3600,2.3341,2.3600,Si
2.3700,2.3456,2.3700,Si
2.3800,2.3570,2.3800,Si
2.3900,2.3684,2.3900,Si
2.4000,2.3798,2.4000,Si
2.4100,2.3911,2.4100,Si
2.4200,2.4023,2.4200,Si
2.4300,2.4135,2.4300,Si
2.4400,2.4247,2.4400,Si
2.4500,2.4358,2.4500,Si
2.4600,2.4469,2.4600,Si
2.4700,2.4579,2.4700,Si
2.4800,2.4689,2.4800,Si
2.4900,2.4798,2.4900,Si
2.5000,2.4907,2.5000,Si
2.5100,2.5016,2.5100,Si
2.5200,2.5124,2.5200,Si
2.5300,2.5232,2.5300,Si
2.5400,2.5339,2.5400,Si
2.5500,2.5446,2.5500,Si
2.5600,2.5552,2.5600,Si
2.5700,2.5658,2.5700,Si
2.5800,2.5764,2.5800,Si
2.5900,2.5869,2.5900,Si
2.6000,2.5973,2.6000,Si
2.6100,2.6078,2.6100,Si
2.6200,2.6182,2.6200,Si
2.6300,2.6285,2.6300,Si
2.6400,2.6389,2.6400,Si
2.6500,2.6491,2.6500,Si
2.6600,2.6594,2.6600,Si
2.6700,2.6696,2.6700,Si
2.6800,2.6797,2.6800,Si
2.6900,2.6899,2.6900,Si
2.7000,2.6999,2.7000,Si
2.7100,2.7100,2.7100,Si
2.7200,2.7200,2.7200,Si
2.7300,2.7300,2.7300,Si
2.7400,2.7399,2.7400,Si
2.7500,2.7498,2.7500,Si
2.7600,2.7597,2.7600,Si
2.7700,2.7695,2.7700,Si
2.7800,2.7793,2.7800,Si
2.7900,2.7891,2.7900,Si
2.8000,2.7988,2.8000,Si
2.8100,2.8085,2.8100,Si
2.8200,2.8181,2.8200,Si
2.8300,2.8278,2.8300,Si
2.8400,2.8374,2.8400,Si
2.8500,2.8469,2.8500,Si
2.8600,2.8564,2.8600,Si
2.8700,2.8659,2.8700,Si
2.8800,2.8754,2.8800,Si
2.8900,2.8848,2.8900,Si
2.9000,2.8942,2.9000,Si
2.9100,2.9035,2.9100,Si
2.9200,2.9129,2.9200,Si
2.9300,2.9222,2.9300,Si
2.9400,2.9314,2.9400,Si
2.9500,2.9407,2.9500,Si
2.9600,2.9499,2.9600,Si
2.9700,2.9590,2.9700,Si
2.9800,2.9682,2.9800,Si
2.9900,2.9773,2.9900,Si
3.0000,2.9863,3.0000,Si
3.0100,2.9954,3.0100,Si
3.0200,3.0044,3.0200,Si
3.0300,3.0134,3.0300,Si
3.0400,3.0223,3.0400,Si
3.0500,3.0313,3.0500,Si
3.0600,3.0402,3.0600,Si
3.0700,3.0490,3.0700,Si
3.0800,3.0579,3.0800,Si
3.0900,3.0667,3.0900,Si
3.1000,3.0755,3.1000,Si
3.1100,3.0842,3.1100,Si
3.1200,3.0930,3.1200,Si
3.1300,3.1016,3.1300,Si
3.1400,3.1103,3.1400,Si
3.1500,3.1190,3.1500,Si
3.1600,3.1276,3.1600,Si
3.1700,3.1362,3.1700,Si
3.1800,3.1447,3.1800,Si
3.1900,3.1533,3.1900,Si
3.2000,3.1618,3.2000,Si
3.2100,3.1703,3.2100,Si
3.2200,3.1787,3.2200,Si
3.2300,3.1871,3.2300,Si
3.2400,3.1955,3.2400,Si
3.2500,3.2039,3.2500,Si
3.2600,3.2123,3.2600,Si
3.2700,3.2206,3.2700,Si
3.2800,3.2289,3.2800,Si
3.2900,3.2372,3.2900,Si
3.3000,3.2454,3.3000,Si
3.3100,3.2536,3.3100,Si
3.3200,3.2618,3.3200,Si
3.3300,3.2700,3.3300,Si
3.3400,3.2782,3.3400,Si
3.3500,3.2863,3.3500,Si
3.3600,3.2944,3.3600,Si
3.3700,3.3025,3.3700,Si
3.3800,3.3105,3.3800,Si
3.3900,3.3186,3.3900,Si
3.4000,3.3266,3.4000,Si
3.4100,3.3345,3.4100,Si
3.4200,3.3425,3.4200,Si
3.4300,3.3504,3.4300,Si
3.4400,3.3584,3.4400,Si
3.4500,3.3663,3.4500,Si
3.4600,3.3741,3.4600,Si
3.4700,3.3820,3.4700,Si
3.4800,3.3898,3.4800,Si
3.4900,3.3976,3.4900,Si
3.5000,3.4054,3.5000,Si
3.5100,3.4131,3.5100,Si
3.5200,3.4209,3.5200,Si
3.5300,3.4286,3.5300,Si
3.5400,3.4363,3.5400,Si
3.5500,3.4439,3.5500,Si
3.5600,3.4516,3.5600,Si
3.5700,3.4592,3.5700,Si
3.5800,3.4668,3.5800,Si
3.5900,3.4744,3.5900,Si
3.6000,3.4819,3.6000,Si
3.6100,3.4895,3.6100,Si
3.6200,3.4970,3.6200,Si
3.6300,3.5045,3.6300,Si
3.6400,3.5120,3.6400,Si
3.6500,3.5194,3.6500,Si
3.6600,3.5269,3.6600,Si
3.6700,3.5343,3.6700,Si
3.6800,3.5417,3.6800,Si
3.6900,3.5491,3.6900,Si
3.7000,3.5564,3.7000,Si
3.7100,3.5638,3.7100,Si
3.7200,3.5711,3.7200,Si
3.7300,3.5784,3.7300,Si
3.7400,3.5856,3.7400,Si
3.7500,3.5929,3.7500,Si
3.7600,3.6001,3.7600,Si
3.7700,3.6074,3.7700,Si
3.7800,3.6146,3.7800,Si
3.7900,3.6217,3.7900,Si
3.8000,3.6289,3.8000,Si
3.8100,3.6361,3.8100,Si
3.8200,3.6432,3.8200,Si
3.8300,3.6503,3.8300,Si
3.8400,3.6574,3.8400,Si
3.8500,3.6644,3.8500,Si
3.8600,3.6715,3.8600,Si
3.8700,3.6785,3.8700,Si
3.8800,3.6855,3.8800,Si
3.8900,3.6925,3.8900,Si
3.9000,3.6995,3.9000,Si
3.9100,3.7065,3.9100,Si
3.9200,3.7134,3.9200,Si
3.9300,3.7203,3.9300,Si
3.9400,3.7273,3.9400,Si
3.9500,3.7341,3.9500,Si
3.9600,3.7410,3.9600,Si
3.9700,3.7479,3.9700,Si
3.9800,3.7547,3.9800,Si
3.9900,3.7615,3.9900,Si
4.0000,3.7683,4.0000,Si
4.0100,3.7751,4.0100,Si
4.0200,3.7819,4.0200,Si
4.0300,3.7886,4.0300,Si
4.0400,3.7954,4.0400,Si
4.0500,3.8021,4.0500,Si
4.0600,3.8088,4.0600,Si
4.0700,3.8155,4.0700,Si
4.0800,3.8222,4.0800,Si
4.0900,3.8288,4.0900,Si
4.1000,3.8355,4.1000,Si
4.1100,3.8421,4.1100,Si
4.1200,3.8487,4.1200,Si
4.1300,3.8553,4.1300,Si
4.1400,3.8619,4.1400,Si
4.1500,3.8684,4.1500,Si
4.1600,3.8750,4.1600,Si
4.1700,3.8815,4.1700,Si
4.1800,3.8880,4.1800,Si
4.1900,3.8945,4.1900,Si
4.2000,3.9010,4.2000,Si
4.2100,3.9074,4.2100,Si
4.2200,3.9139,4.2200,Si
4.2300,3.9203,4.2300,Si
4.2400,3.9267,4.2400,Si
4.2500,3.9331,4.2500,Si
4.2600,3.9395,4.2600,Si
4.2700,3.9459,4.2700,Si
4.2800,3.9523,4.2800,Si
4.2900,3.9586,4.2900,Si
4.3000,3.9649,4.3000,Si
4.3100,3.9712,4.3100,Si
4.3200,3.9775,4.3200,Si
4.3300,3.9838,4.3300,Si
4.3400,3.9901,4.3400,Si
4.3500,3.9964,4.3500,Si
4.3600,4.0026,4.3600,Si
4.3700,4.0088,4.3700,Si
4.3800,4.0150,4.3800,Si
4.3900,4.0212,4.3900,Si
4.4000,4.0274,4.4000,Si
4.4100,4.0336,4.4100,Si
4.4200,4.0397,4.4200,Si
4.4300,4.0459,4.4300,Si
4.4400,4.0520,4.4400,Si
4.4500,4.0581,4.4500,Si
4.4600,4.0642,4.4600,Si
4.4700,4.0703,4.4700,Si
4.4800,4.0764,4.4800,Si
4.4900,4.0825,4.4900,Si
4.5000,4.0885,4.5000,Si
4.5100,4.0945,4.5100,Si
4.5200,4.1006,4.5200,Si
4.5300,4.1066,4.5300,Si
4.5400,4.1126,4.5400,Si
4.5500,4.1185,4.5500,Si
4.5600,4.1245,4.5600,Si
4.5700,4.1305,4.5700,Si
4.5800,4.1364,4.5800,Si
4.5900,4.1423,4.5900,Si
4.6000,4.1483,4.6000,Si
4.6100,4.1542,4.6100,Si
4.6200,4.1600,4.6200,Si
4.6300,4.1659,4.6300,Si
4.6400,4.1718,4.6400,Si
4.6500,4.1776,4.6500,Si
4.6600,4.1835,4.6600,Si
4.6700,4.1893,4.6700,Si
4.6800,4.1951,4.6800,Si
4.6900,4.2009,4.6900,Si
4.7000,4.2067,4.7000,Si
4.7100,4.2125,4.7100,Si
4.7200,4.2183,4.7200,Si
4.7300,4.2240,4.7300,Si
4.7400,4.2297,4.7400,Si
4.7500,4.2355,4.7500,Si
4.7600,4.2412,4.7600,Si
4.7700,4.2469,4.7700,Si
4.7800,4.2526,4.7800,Si
4.7900,4.2583,4.7900,Si
4.8000,4.2639,4.8000,Si
4.8100,4.2696,4.8100,Si
4.8200,4.2752,4.8200,Si
4.8300,4.2809,4.8300,Si
4.8400,4.2865,4.8400,Si
4.8500,4.2921,4.8500,Si
4.8600,4.2977,4.8600,Si
4.8700,4.3033,4.8700,Si
4.8800,4.3089,4.8800,Si
4.8900,4.3144,4.8900,Si
4.9000,4.3200,4.9000,Si
4.9100,4.3255,4.9100,Si
4.9200,4.3311,4.9200,Si
4.9300,4.3366,4.9300,Si
4.9400,4.3421,4.9400,Si
4.9500,4.3476,4.9500,Si
4.9600,4.3531,4.9600,Si
4.9700,4.3585,4.9700,Si
4.9800,4.3640,4.9800,Si
4.9900,4.3695,4.9900,Si
5.0000,4.3749,5.0000,Si
5.0100,4.3803,5.0100,Si
5.0200,4.3858,5.0200,Si
5.0300,4.3912,5.0300,Si
5.0400,4.3966,5.0400,Si
5.0500,4.4020,5.0500,Si
5.0600,4.4073,5.0600,Si
5.0700,4.4127,5.0700,Si
5.0800,4.4181,5.0800,Si
5.0900,4.4234,5.0900,Si
5.1000,4.4287,5.1000,Si
5.1100,4.4341,5.1100,Si
5.1200,4.4394,5.1200,Si
5.1300,4.4447,5.1300,Si
5.1400,4.4500,5.1400,Si
5.1500,4.4553,5.1500,Si
5.1600,4.4605,5.1600,Si
5.1700,4.4658,5.1700,Si
5.1800,4.4710,5.1800,Si
5.1900,4.4763,5.1900,Si
5.2000,4.4815,5.2000,Si
5.2100,4.4867,5.2100,Si
5.2200,4.4920,5.2200,Si
5.2300,4.4972,5.2300,Si
5.2400,4.5023,5.2400,Si
5.2500,4.5075,5.2500,Si
5.2600,4.5127,5.2600,Si
5.2700,4.5179,5.2700,Si
5.2800,4.5230,5.2800,Si
5.2900,4.5282,5.2900,Si
5.3000,4.5333,5.3000,Si
5.3100,4.5384,5.3100,Si
5.3200,4.5435,5.3200,Si
5.3300,4.5486,5.3300,Si
5.3400,4.5537,5.3400,Si
5.3500,4.5588,5.3500,Si
5.3600,4.5639,5.3600,Si
5.3700,4.5690,5.3700,Si
5.3800,4.5740,5.3800,Si
5.3900,4.5791,5.3900,Si
5.4000,4.5841,5.4000,Si
5.4100,4.5891,5.4100,Si
5.4200,4.5942,5.4200,Si
5.4300,4.5992,5.4300,Si
5.4400,4.6042,5.4400,Si
5.4500,4.6092,5.4500,Si
5.4600,4.6141,5.4600,Si
5.4700,4.6191,5.4700,Si
5.4800,4.6241,5.4800,Si
5.4900,4.6290,5.4900,Si
5.5000,4.6340,5.5000,Si
5.5100,4.6389,5.5100,Si
5.5200,4.6439,5.5200,Si
5.5300,4.6488,5.5300,Si
5.5400,4.6537,5.5400,Si
5.5500,4.6586,5.5500,Si
5.5600,4.6635,5.5600,Si
5.5700,4.6684,5.5700,Si
5.5800,4.6732,5.5800,Si
5.5900,4.6781,5.5900,Si
5.6000,4.6830,5.6000,Si
5.6100,4.6878,5.6100,Si
5.6200,4.6927,5.6200,Si
5.6300,4.6975,5.6300,Si
5.6400,4.7023,5.6400,Si
5.6500,4.7071,5.6500,Si
5.6600,4.7119,5.6600,Si
5.6700,4.7167,5.6700,Si
5.6800,4.7215,5.6800,Si
5.6900,4.7263,5.6900,Si
5.7000,4.7311,5.7000,Si
5.7100,4.7358,5.7100,Si
5.7200,4.7406,5.7200,Si
5.7300,4.7453,5.7300,Si
5.7400,4.7501,5.7400,Si
5.7500,4.7548,5.7500,Si
5.7600,4.7595,5.7600,Si
5.7700,4.7643,5.7700,Si
5.7800,4.7690,5.7800,Si
5.7900,4.7737,5.7900,Si
5.8000,4.7784,5.8000,Si
5.8100,4.7830,5.8100,Si
5.8200,4.7877,5.8200,Si
5.8300,4.7924,5.8300,Si
5.8400,4.7970,5.8400,Si
5.8500,4.8017,5.8500,Si
5.8600,4.8063,5.8600,Si
5.8700,4.8110,5.8700,Si
5.8800,4.8156,5.8800,Si
5.8900,4.8202,5.8900,Si
5.9000,4.8248,5.9000,Si
5.9100,4.8294,5.9100,Si
5.9200,4.8340,5.9200,Si
5.9300,4.8386,5.9300,Si
5.9400,4.8432,5.9400,Si
5.9500,4.8478,5.9500,Si
5.9600,4.8523,5.9600,Si
5.9700,4.8569,5.9700,Si
5.9800,4.8614,5.9800,Si
5.9900,4.8660,5.9900,Si
6.0000,4.8705,6.0000,Si
